"dhs_indicator_code","variable","ADM2_EN","naive","naive_var","dir","dir_var","n_obs","degf"
NA,"nt_wm_micro_iron","Rajshahi",0.552631578947368,0.249417792268281,0.498280214966011,0.00575826485609632,20,19
NA,"nt_wm_micro_iron","Rangamati",0.470588235294118,0.25668449197861,0.504743886774896,0.0054499217327633,5,4
NA,"nt_wm_micro_iron","Rangpur",0.598290598290598,0.242410845859122,0.603015560104296,0.00294767719993098,20,19
NA,"nt_wm_micro_iron","Satkhira",0.555555555555556,0.250391236306729,0.548180695986198,0.00347159012271734,10,9
NA,"nt_wm_micro_iron","Shariatpur",0.44,0.256666666666667,0.447515306990195,0.000684220441731228,3,2
NA,"nt_wm_micro_iron","Sherpur",0.507692307692308,0.253846153846154,0.510932152693403,0.00432701309984744,9,8
NA,"nt_wm_micro_iron","Sirajganj",0.55,0.250632911392405,0.540019342826145,0.00363919160636016,14,13
NA,"nt_wm_micro_iron","Sunamganj",0.372881355932203,0.235839490076778,0.360213981161981,0.00386404835106564,15,14
NA,"nt_wm_micro_iron","Sylhet",0.510822510822511,0.250969320534538,0.497930451344208,0.000979218141753912,28,27
NA,"nt_wm_micro_iron","Tangail",0.537037037037037,0.253319357092942,0.543799222485918,0.00148551041144691,9,8
NA,"nt_wm_micro_iron","Thakurgaon",0.5,0.25609756097561,0.473592219971569,0.00466191312137414,6,5
"RH_ANCN_W_N4P","rh_anc_4vs","Bagerhat",0.333333333333333,0.227642276422764,0.335190143778195,0.00725392188817618,8,7
"RH_ANCN_W_N4P","rh_anc_4vs","Bandarban",0.6,0.266666666666667,0.596100280171032,0.00068072506227811,2,1
"RH_ANCN_W_N4P","rh_anc_4vs","Barguna",0.341463414634146,0.230487804878049,0.341685053920086,0.00412789446423209,7,6
"RH_ANCN_W_N4P","rh_anc_4vs","Barisal",0.44973544973545,0.248789823257908,0.330988968139334,0.00244825739019005,26,25
"RH_ANCN_W_N4P","rh_anc_4vs","Bhola",0.302816901408451,0.212616122265508,0.252416263664463,0.0025328606156939,13,12
"RH_ANCN_W_N4P","rh_anc_4vs","Bogra",0.325301204819277,0.222156920364384,0.287452632775592,0.00515764293132956,16,15
"RH_ANCN_W_N4P","rh_anc_4vs","Brahamanbaria",0.303030303030303,0.214452214452214,0.307728160455966,0.00332737710478008,7,6
"RH_ANCN_W_N4P","rh_anc_4vs","Chandpur",0.364864864864865,0.234912995186968,0.355409072664219,0.00550253555514983,8,7
