"dhs_indicator_code","variable","dir","dir_var"
NA,"nt_wm_micro_iron",0.521232751869938,8.7792563240094e-05
"RH_ANCN_W_N4P","rh_anc_4vs",0.396414817776702,0.000116333253307194
NA,"rh_anc_1tri",0.379938242938155,9.85543549643281e-05
